frn,firm_name,obs_date,y,ch_number,status,status_date,n_permissions,client_money,business_type
120923,Timothy Lawrence Insurance Brokers Limited,2016-01-01,0,01748888,Authorised,01/12/2001,7,Hold and control client money,Regulated
120923,Timothy Lawrence Insurance Brokers Limited,2017-01-01,0,01748888,Authorised,01/12/2001,7,Hold and control client money,Regulated
120923,Timothy Lawrence Insurance Brokers Limited,2018-01-01,0,01748888,Authorised,01/12/2001,7,Hold and control client money,Regulated
120923,Timothy Lawrence Insurance Brokers Limited,2019-01-01,0,01748888,Authorised,01/12/2001,7,Hold and control client money,Regulated
120923,Timothy Lawrence Insurance Brokers Limited,2020-01-01,0,01748888,Authorised,01/12/2001,7,Hold and control client money,Regulated
120923,Timothy Lawrence Insurance Brokers Limited,2021-01-01,0,01748888,Authorised,01/12/2001,7,Hold and control client money,Regulated
120923,Timothy Lawrence Insurance Brokers Limited,2022-01-01,0,01748888,Authorised,01/12/2001,7,Hold and control client money,Regulated
120923,Timothy Lawrence Insurance Brokers Limited,2023-01-01,0,01748888,Authorised,01/12/2001,7,Hold and control client money,Regulated
120923,Timothy Lawrence Insurance Brokers Limited,2024-01-01,0,01748888,Authorised,01/12/2001,7,Hold and control client money,Regulated
120927,D.J. Cooke (Life & Pensions) Limited,2016-01-01,0,01917232,No longer authorised,30/03/2023,0,,Regulated
120927,D.J. Cooke (Life & Pensions) Limited,2017-01-01,0,01917232,No longer authorised,30/03/2023,0,,Regulated
120927,D.J. Cooke (Life & Pensions) Limited,2018-01-01,0,01917232,No longer authorised,30/03/2023,0,,Regulated
120927,D.J. Cooke (Life & Pensions) Limited,2019-01-01,0,01917232,No longer authorised,30/03/2023,0,,Regulated
120927,D.J. Cooke (Life & Pensions) Limited,2020-01-01,0,01917232,No longer authorised,30/03/2023,0,,Regulated
120927,D.J. Cooke (Life & Pensions) Limited,2021-01-01,0,01917232,No longer authorised,30/03/2023,0,,Regulated
120927,D.J. Cooke (Life & Pensions) Limited,2022-01-01,0,01917232,No longer authorised,30/03/2023,0,,Regulated
120927,D.J. Cooke (Life & Pensions) Limited,2023-01-01,0,01917232,No longer authorised,30/03/2023,0,,Regulated
120967,Michael Ambrose Limited,2016-01-01,0,01602819,No longer authorised,10/10/2025,0,,Regulated
120967,Michael Ambrose Limited,2017-01-01,0,01602819,No longer authorised,10/10/2025,0,,Regulated
120967,Michael Ambrose Limited,2018-01-01,0,01602819,No longer authorised,10/10/2025,0,,Regulated
120967,Michael Ambrose Limited,2019-01-01,0,01602819,No longer authorised,10/10/2025,0,,Regulated
120967,Michael Ambrose Limited,2020-01-01,0,01602819,No longer authorised,10/10/2025,0,,Regulated
120967,Michael Ambrose Limited,2021-01-01,0,01602819,No longer authorised,10/10/2025,0,,Regulated
120967,Michael Ambrose Limited,2022-01-01,0,01602819,No longer authorised,10/10/2025,0,,Regulated
120967,Michael Ambrose Limited,2023-01-01,0,01602819,No longer authorised,10/10/2025,0,,Regulated
